Epoch,Train Duration,Train it/s,Train loss,Train accuracy,Test Duration,Test it/s,Test loss,Test accuracy
1.0,51.0,1.08,0.9098,0.587,9.0,1.28,906.1296,0.6292
2.0,49.0,1.04,0.6134,0.6521,9.0,1.22,0.9208,0.6919
3.0,49.0,1.03,0.7314,0.6749,10.0,1.19,0.8794,0.671
4.0,49.0,1.03,0.5388,0.7153,9.0,1.27,0.7151,0.564
5.0,50.0,1.05,0.5518,0.7309,9.0,1.2,0.9283,0.6266
6.0,49.0,1.03,0.5155,0.772,10.0,1.19,0.7141,0.7781
7.0,50.0,1.06,0.5767,0.744,9.0,1.3,0.5217,0.799
8.0,50.0,1.06,0.4628,0.7909,10.0,1.17,0.7057,0.7911
9.0,49.0,1.04,0.4484,0.8072,10.0,1.18,0.4409,0.7833
10.0,50.0,1.06,0.4177,0.8104,9.0,1.26,0.6319,0.7807
11.0,51.0,1.07,0.4757,0.815,10.0,1.17,0.4963,0.7624
12.0,51.0,1.07,0.4221,0.8202,9.0,1.28,1.0766,0.7441
13.0,51.0,1.06,0.4673,0.8007,10.0,1.17,0.785,0.7415
14.0,50.0,1.04,0.4511,0.7805,10.0,1.17,0.556,0.8042
15.0,51.0,1.07,0.4564,0.7961,9.0,1.22,0.4649,0.8094
16.0,50.0,1.06,0.3753,0.8423,10.0,1.18,0.6415,0.799
17.0,50.0,1.06,0.3846,0.8352,9.0,1.3,0.6309,0.799
18.0,50.0,1.06,0.3689,0.8391,10.0,1.19,0.4431,0.812
19.0,49.0,1.04,0.3828,0.8332,10.0,1.18,0.6013,0.7859
20.0,50.0,1.05,0.3595,0.8423,9.0,1.3,1.8646,0.7781
21.0,50.0,1.06,0.4032,0.8228,10.0,1.18,0.4753,0.8016
22.0,50.0,1.05,0.3624,0.8371,10.0,1.2,0.5154,0.8042
23.0,51.0,1.06,0.3503,0.8443,9.0,1.23,0.4819,0.7937
24.0,50.0,1.05,0.3598,0.8397,10.0,1.18,0.5091,0.7781
25.0,50.0,1.06,0.4024,0.8358,9.0,1.28,0.4373,0.8303
26.0,50.0,1.06,0.3698,0.8528,10.0,1.17,0.4868,0.8068
27.0,49.0,1.04,0.3314,0.8567,10.0,1.17,0.4397,0.8172
28.0,50.0,1.05,0.4052,0.8469,9.0,1.29,0.5298,0.7963
29.0,50.0,1.06,0.3548,0.8469,10.0,1.17,0.4493,0.7911
30.0,50.0,1.05,0.3817,0.8287,9.0,1.23,0.5085,0.7755
31.0,50.0,1.06,0.3597,0.8423,9.0,1.22,0.408,0.7937
32.0,49.0,1.04,0.3931,0.8443,10.0,1.19,0.3845,0.8225
33.0,50.0,1.05,0.3524,0.8463,9.0,1.27,0.4233,0.8016
34.0,50.0,1.06,0.3722,0.8391,10.0,1.17,0.3855,0.8277
35.0,49.0,1.04,0.3887,0.8443,10.0,1.19,0.3946,0.8277
36.0,50.0,1.05,0.3669,0.8384,9.0,1.32,0.3802,0.8172
37.0,50.0,1.05,0.368,0.8339,10.0,1.18,0.4459,0.7911
38.0,49.0,1.03,0.3659,0.841,10.0,1.18,0.4091,0.8198
39.0,50.0,1.05,0.3333,0.8606,9.0,1.29,0.4015,0.8198
40.0,50.0,1.05,0.3236,0.8625,10.0,1.18,0.4949,0.8146
41.0,50.0,1.05,0.3352,0.8515,10.0,1.2,0.4335,0.8068
42.0,50.0,1.06,0.3394,0.8502,10.0,1.2,0.5654,0.8251
43.0,50.0,1.05,0.3442,0.8436,10.0,1.17,0.4656,0.7781
44.0,50.0,1.05,0.3318,0.8495,9.0,1.29,0.6598,0.8486
45.0,51.0,1.07,0.3638,0.8528,10.0,1.15,0.4373,0.8225
46.0,50.0,1.05,0.349,0.8521,9.0,1.21,0.4143,0.8172
47.0,50.0,1.05,0.3371,0.8528,9.0,1.25,0.4465,0.7963
48.0,50.0,1.05,0.3528,0.8443,10.0,1.18,0.4319,0.812
49.0,50.0,1.06,0.3199,0.8593,9.0,1.26,0.4842,0.7781
50.0,51.0,1.06,0.3183,0.858,10.0,1.15,0.3929,0.8198
51.0,50.0,1.05,0.3386,0.8456,10.0,1.18,0.397,0.812
52.0,50.0,1.06,0.3289,0.8586,10.0,1.2,0.4117,0.8303
53.0,50.0,1.05,0.3487,0.8554,10.0,1.18,0.3918,0.8198
54.0,50.0,1.05,0.3147,0.8586,9.0,1.29,0.4319,0.7963
55.0,50.0,1.04,0.3487,0.8417,9.0,1.22,0.4091,0.812
56.0,50.0,1.06,0.337,0.8554,10.0,1.17,0.3824,0.8172
57.0,51.0,1.06,0.3047,0.8684,9.0,1.3,0.4128,0.8355
58.0,51.0,1.06,0.3096,0.8612,10.0,1.18,0.4563,0.8303
59.0,50.0,1.05,0.317,0.8645,9.0,1.21,0.4717,0.7807
60.0,51.0,1.07,0.3097,0.8645,9.0,1.21,0.4259,0.8016
61.0,50.0,1.06,0.3115,0.8567,10.0,1.17,0.4216,0.8172
62.0,51.0,1.07,0.3154,0.8586,9.0,1.31,0.4107,0.8172
63.0,50.0,1.05,0.3157,0.8619,10.0,1.2,0.4885,0.8355
64.0,49.0,1.04,0.31,0.8638,10.0,1.18,0.4094,0.8198
65.0,50.0,1.06,0.339,0.8508,9.0,1.32,0.4017,0.8172
66.0,50.0,1.06,0.3139,0.8586,10.0,1.19,0.4037,0.8172
67.0,50.0,1.05,0.2994,0.8749,9.0,1.2,0.4783,0.8303
68.0,50.0,1.06,0.3035,0.8717,9.0,1.23,0.4387,0.8251
69.0,50.0,1.05,0.3052,0.8664,10.0,1.17,0.3873,0.8251
70.0,50.0,1.05,0.3044,0.8612,8.0,1.34,0.3947,0.8172
71.0,50.0,1.05,0.3031,0.8684,10.0,1.18,0.4321,0.8198
72.0,49.0,1.04,0.3122,0.8743,10.0,1.2,0.4894,0.7702
73.0,50.0,1.04,0.3143,0.8756,9.0,1.33,0.4127,0.8146
74.0,50.0,1.05,0.3086,0.8697,9.0,1.21,0.3934,0.812
75.0,49.0,1.03,0.3218,0.8697,10.0,1.19,0.3792,0.8355
76.0,50.0,1.06,0.326,0.8573,9.0,1.26,0.4214,0.8016
77.0,50.0,1.06,0.2908,0.8697,10.0,1.17,0.4181,0.8146
78.0,50.0,1.05,0.3123,0.8593,9.0,1.29,0.396,0.8303
79.0,50.0,1.05,0.3025,0.8664,10.0,1.19,0.4136,0.8146
80.0,49.0,1.03,0.3091,0.8762,10.0,1.19,0.4626,0.8068
81.0,50.0,1.04,0.3048,0.8853,9.0,1.33,0.3885,0.8225
82.0,49.0,1.04,0.2916,0.8723,10.0,1.2,0.4943,0.812
83.0,49.0,1.03,0.3123,0.8619,9.0,1.2,0.4808,0.8329
84.0,49.0,1.04,0.2985,0.873,9.0,1.33,0.4902,0.7833
85.0,49.0,1.04,0.2881,0.8782,9.0,1.2,0.3902,0.8225
86.0,49.0,1.03,0.2885,0.8795,9.0,1.21,0.4046,0.8277
87.0,50.0,1.05,0.3024,0.8723,9.0,1.33,0.5256,0.8277
88.0,50.0,1.05,0.2921,0.8664,10.0,1.2,0.4436,0.8198
89.0,49.0,1.03,0.2904,0.8814,10.0,1.19,0.4109,0.8355
90.0,50.0,1.05,0.296,0.8782,8.0,1.34,0.4807,0.8042
91.0,49.0,1.03,0.2971,0.8743,10.0,1.2,0.4145,0.812
92.0,49.0,1.03,0.3098,0.8697,10.0,1.15,0.4096,0.8172
93.0,51.0,1.06,0.2955,0.8684,9.0,1.28,0.4848,0.8355
94.0,50.0,1.05,0.2874,0.8736,9.0,1.21,0.4462,0.812
95.0,49.0,1.03,0.3124,0.8769,9.0,1.27,0.465,0.812
96.0,50.0,1.04,0.2728,0.884,9.0,1.26,0.4415,0.8277
97.0,49.0,1.04,0.2964,0.8762,10.0,1.2,0.4381,0.8225
98.0,50.0,1.05,0.295,0.871,9.0,1.28,0.5489,0.8251
99.0,50.0,1.05,0.2712,0.8801,9.0,1.21,0.4083,0.8407
100.0,50.0,1.05,0.3048,0.8704,10.0,1.19,0.503,0.8355
